Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-uj56;order-jpm9;Page;Page ID;Page Counter;Question;Response Type;Key;Response;Tag;OptionOrder;Object Name;Object Number;Object ID
2;1681736939499;17/04/2023 13:08:59;1681740539499;1;17/04/2023 15:08:59;121969;5;questionnaire-igew;;28916044;BLIND;8609541;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 111.0.0.0;1536x864;1536x714;;Demographics;1;AB;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;27;;;Number Entry;2;object-3
3;1681736939499;17/04/2023 13:08:59;1681740539499;1;17/04/2023 15:08:59;121969;5;questionnaire-igew;;28916044;BLIND;8609541;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 111.0.0.0;1536x864;1536x714;;Demographics;1;AB;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
2;1681733580679;17/04/2023 12:13:00;1681740780679;2;17/04/2023 16:13:00;121969;5;questionnaire-igew;;28916252;BLIND;8609614;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 112.0.0.0;1440x900;1440x690;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;20;;;Number Entry;2;object-3
3;1681733580680;17/04/2023 12:13:00;1681740780680;2;17/04/2023 16:13:00;121969;5;questionnaire-igew;;28916252;BLIND;8609614;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 112.0.0.0;1440x900;1440x690;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
2;1681748607519;17/04/2023 16:23:27;1681759407519;3;17/04/2023 22:23:27;121969;5;questionnaire-igew;;28924727;BLIND;8612986;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1280x720;1266x593;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;25;;;Number Entry;2;object-3
3;1681748607519;17/04/2023 16:23:27;1681759407519;3;17/04/2023 22:23:27;121969;5;questionnaire-igew;;28924727;BLIND;8612986;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1280x720;1266x593;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Male;;;Text Input;3;object-4
2;1681765668415;17/04/2023 21:07:48;1681769268415;1;17/04/2023 23:07:48;121969;5;questionnaire-igew;;28926902;BLIND;8613926;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 112.0.0.0;424x879;980x1828;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;26;;;Number Entry;2;object-3
3;1681765668416;17/04/2023 21:07:48;1681769268416;1;17/04/2023 23:07:48;121969;5;questionnaire-igew;;28926902;BLIND;8613926;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 112.0.0.0;424x879;980x1828;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Male;;;Text Input;3;object-4
2;1681807832211;18/04/2023 08:50:32;1681811432211;1;18/04/2023 10:50:32;121969;5;questionnaire-igew;;28932592;BLIND;8616335;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1536x864;1229x577;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;27;;;Number Entry;2;object-3
3;1681807832211;18/04/2023 08:50:32;1681811432211;1;18/04/2023 10:50:32;121969;5;questionnaire-igew;;28932592;BLIND;8616335;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1536x864;1229x577;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Male;;;Text Input;3;object-4
