Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,choice_1,choice_2,choice_3,choice_4,likert,Answer,image_label,practice
1,1677425993150,26/02/2023 15:39:53,1677425992198,0,26/02/2023 15:39:52,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1677426000685,26/02/2023 15:40:00,1677425999748,0,26/02/2023 15:39:59,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7471.899999976158,,,,,0,1,0,,,,,,instructions,,,,,,,,
3,1677426006701,26/02/2023 15:40:06,1677426005794,0,26/02/2023 15:40:05,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,1,1,2,Screen 4,advancementZone,continue_button,6041.299999952316,,,,,0,1,0,,,,,,instructions,,,,,,,,
4,1677426031907,26/02/2023 15:40:31,1677426030997,0,26/02/2023 15:40:30,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,25190.699999928474,,,,,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
5,1677426038842,26/02/2023 15:40:38,1677426037909,0,26/02/2023 15:40:37,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,2,1,2,Screen 5,Zone4,response_button_text,6903.299999952316,,,happy,1,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
6,1677426044863,26/02/2023 15:40:44,1677426043938,0,26/02/2023 15:40:43,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,2,1,3,Screen 3,advancementZone,continue_button,6023.599999904633,,,,,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
7,1677426050237,26/02/2023 15:40:50,1677426049322,0,26/02/2023 15:40:49,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,2,1,4,Screen 2,Zone6,response_rating_scale_likert_active,5375.199999928474,,,3,1,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
8,1677426052285,26/02/2023 15:40:52,1677426051367,0,26/02/2023 15:40:51,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2026.1000000238419,,,,,0,1,0,,,,,,task_ready,,,,,,,,
9,1677426052718,26/02/2023 15:40:52,1677426051800,0,26/02/2023 15:40:51,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,37,1,1,Screen 2,fixation,fixation,449.99499999999534,,,,,0,1,0,,,,1,1,trials,reluctant,fearful,despaired,surprised,"1,2,3,4,5,6,7,8,9",fearful,neg_14.jpeg,0
10,1677426057565,26/02/2023 15:40:57,1677426056663,0,26/02/2023 15:40:56,121969,4,task-cf1c,,27572180,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,MET,59,AB,AB,Spreadsheet1,Spreadsheet1,37,1,2,Screen 1,Zone3,response_button_text,4856,,,fearful,1,1,0,0,,,,1,1,trials,reluctant,fearful,despaired,surprised,"1,2,3,4,5,6,7,8,9",fearful,neg_14.jpeg,0
