Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Affective_Responsiveness ,Store: Cognitive_Responsiveness ,Store: Interpersonal_Manipulation,Store: Egocentricity
1,1677425854002,26/02/2023 15:37:34,1677425854002,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,"**No matter what happens and what people say, I’m usually the one who is right.**",response,value,Sometimes Agree,,,Q12_Egocentricity,3,object-42,0,2,5,3
2,1677425854003,26/02/2023 15:37:34,1677425854003,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,"**No matter what happens and what people say, I’m usually the one who is right.**",response,quantised,3,,,Q12_Egocentricity,3,object-42,0,2,5,3
3,1677425854003,26/02/2023 15:37:34,1677425854003,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I don’t feel bad when a friend is going through a tough time.**,response,value,Strongly Disagree,,,Q13_Affective_Responsiveness,4,object-43,0,2,5,3
4,1677425854004,26/02/2023 15:37:34,1677425854004,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I don’t feel bad when a friend is going through a tough time.**,response,quantised,1,,,Q13_Affective_Responsiveness,4,object-43,0,2,5,3
5,1677425854004,26/02/2023 15:37:34,1677425854004,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I’m good at pretending that I like someone if this will get me what I want.**,response,value,Strongly Disagree,,,Q19_Interpersonal_Manipulation,10,object-49,0,2,5,3
6,1677425854005,26/02/2023 15:37:34,1677425854005,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I’m good at pretending that I like someone if this will get me what I want.**,response,quantised,1,,,Q19_Interpersonal_Manipulation,10,object-49,0,2,5,3
7,1677425854006,26/02/2023 15:37:34,1677425854006,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I sometimes provoke people on purpose to see how they react in certain situations.**,response,value,Sometimes Agree,,,Q15_Interpersonal_Manipulation,6,object-45,0,2,5,3
8,1677425854006,26/02/2023 15:37:34,1677425854006,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I sometimes provoke people on purpose to see how they react in certain situations.**,response,quantised,3,,,Q15_Interpersonal_Manipulation,6,object-45,0,2,5,3
9,1677425854007,26/02/2023 15:37:34,1677425854007,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I’m happy to help somebody as long as I get something in return.**,response,value,Disagree,,,Q16_Egocentricity,7,object-46,0,2,5,3
10,1677425854007,26/02/2023 15:37:34,1677425854007,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I’m happy to help somebody as long as I get something in return.**,response,quantised,2,,,Q16_Egocentricity,7,object-46,0,2,5,3
11,1677425854008,26/02/2023 15:37:34,1677425854008,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I know how to fake emotions like pain and hurt to make other people feel sorry for me.**,response,value,Agree,,,Q11_Interpersonal_Manipulation,2,object-41,0,2,5,3
12,1677425854008,26/02/2023 15:37:34,1677425854008,0,26/02/2023 15:37:34,121969,4,questionnaire-mb28,,27572055,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,PPTS-R,5,AB,AB,Page 3,okv7as,2,**I know how to fake emotions like pain and hurt to make other people feel sorry for me.**,response,quantised,4,,,Q11_Interpersonal_Manipulation,2,object-41,0,2,5,3
