Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,choice_1,choice_2,choice_3,choice_4,likert,Answer,image_label,practice
1,1681741115255,17/04/2023 14:18:35,1681741115163,2,17/04/2023 16:18:35,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1681741121671,17/04/2023 14:18:41,1681741121586,2,17/04/2023 16:18:41,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6358.399999976158,,,,,0,1,0,,,,,,instructions,,,,,,,,
3,1681741125925,17/04/2023 14:18:45,1681741125846,2,17/04/2023 16:18:45,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,1,1,2,Screen 4,advancementZone,continue_button,4254.100000023842,,,,,0,1,0,,,,,,instructions,,,,,,,,
4,1681741136496,17/04/2023 14:18:56,1681741136430,2,17/04/2023 16:18:56,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,10562.700000047684,,,,,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
5,1681741155731,17/04/2023 14:19:15,1681741155643,2,17/04/2023 16:19:15,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,2,1,2,Screen 5,Zone3,response_button_text,19201.5,,,joyful,1,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
6,1681741156978,17/04/2023 14:19:16,1681741156925,2,17/04/2023 16:19:16,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,2,1,3,Screen 3,advancementZone,continue_button,1274.3999999761581,,,,,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
7,1681741163009,17/04/2023 14:19:23,1681741162865,2,17/04/2023 16:19:22,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,2,1,4,Screen 2,Zone8,response_rating_scale_likert_active,5928,,,5,1,0,1,0,,,,,,example_2,proud,joyful,happy,relieved,"1,2,3,4,5,6,7,8,9",,example.jpeg,1
8,1681741164141,17/04/2023 14:19:24,1681741164102,2,17/04/2023 16:19:24,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1221.8000000715256,,,,,0,1,0,,,,,,task_ready,,,,,,,,
9,1681741164597,17/04/2023 14:19:24,1681741164538,2,17/04/2023 16:19:24,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,8,1,1,Screen 2,fixation,fixation,449.98199999999633,,,,,0,1,0,,,,1,1,trials,blissful,grateful,triumphant,moved,"1,2,3,4,5,6,7,8,9",triumphant,pos_05.jpeg,0
10,1681741170174,17/04/2023 14:19:30,1681741170131,2,17/04/2023 16:19:30,121969,5,task-cf1c,,28916469,BLIND,8609614,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x690,,MET,59,BA,AB,Spreadsheet1,Spreadsheet1,8,1,2,Screen 1,Zone4,response_button_text,5584.300000071526,,,triumphant,1,1,0,0,,,,1,1,trials,blissful,grateful,triumphant,moved,"1,2,3,4,5,6,7,8,9",triumphant,pos_05.jpeg,0
