Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Affective_Responsiveness ,Store: Cognitive_Responsiveness ,Store: Interpersonal_Manipulation,Store: Egocentricity
1,1681736943791,17/04/2023 13:09:03,1681740543791,1,17/04/2023 15:09:03,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,,,,,,,BEGIN,,,,,,,,,
2,1681737150351,17/04/2023 13:12:30,1681740750351,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I sometimes provoke people on purpose to see how they react in certain situations.**,response,value,Strongly Disagree,,,Q15_Interpersonal_Manipulation,6,object-45,2,0,3,1
3,1681737150352,17/04/2023 13:12:30,1681740750352,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I sometimes provoke people on purpose to see how they react in certain situations.**,response,quantised,1,,,Q15_Interpersonal_Manipulation,6,object-45,2,0,3,1
4,1681737150353,17/04/2023 13:12:30,1681740750353,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I don’t feel bad when a friend is going through a tough time.**,response,value,Strongly Disagree,,,Q13_Affective_Responsiveness,4,object-43,2,0,3,1
5,1681737150353,17/04/2023 13:12:30,1681740750353,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I don’t feel bad when a friend is going through a tough time.**,response,quantised,1,,,Q13_Affective_Responsiveness,4,object-43,2,0,3,1
6,1681737150354,17/04/2023 13:12:30,1681740750354,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,"**No matter what happens and what people say, I’m usually the one who is right.**",response,value,Disagree,,,Q12_Egocentricity,3,object-42,2,0,3,1
7,1681737150355,17/04/2023 13:12:30,1681740750355,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,"**No matter what happens and what people say, I’m usually the one who is right.**",response,quantised,2,,,Q12_Egocentricity,3,object-42,2,0,3,1
8,1681737150355,17/04/2023 13:12:30,1681740750355,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I find it difficult to understand what other people feel.**,response,value,Strongly Disagree,,,Q18_Cognitive_Responsiveness ,9,object-48,2,0,3,1
9,1681737150356,17/04/2023 13:12:30,1681740750356,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I find it difficult to understand what other people feel.**,response,quantised,1,,,Q18_Cognitive_Responsiveness ,9,object-48,2,0,3,1
10,1681737150356,17/04/2023 13:12:30,1681740750356,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I can’t really tell when someone is feeling awkward or uncomfortable.**,response,value,Strongly Disagree,,,Q14_Cognitive_Responsiveness ,5,object-44,2,0,3,1
11,1681737150357,17/04/2023 13:12:30,1681740750357,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I can’t really tell when someone is feeling awkward or uncomfortable.**,response,quantised,1,,,Q14_Cognitive_Responsiveness ,5,object-44,2,0,3,1
12,1681737150357,17/04/2023 13:12:30,1681740750357,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I’m happy to help somebody as long as I get something in return.**,response,value,Strongly Disagree,,,Q16_Egocentricity,7,object-46,2,0,3,1
13,1681737150358,17/04/2023 13:12:30,1681740750358,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I’m happy to help somebody as long as I get something in return.**,response,quantised,1,,,Q16_Egocentricity,7,object-46,2,0,3,1
14,1681737150359,17/04/2023 13:12:30,1681740750359,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I know how to fake emotions like pain and hurt to make other people feel sorry for me.**,response,value,Agree,,,Q11_Interpersonal_Manipulation,2,object-41,2,0,3,1
15,1681737150360,17/04/2023 13:12:30,1681740750360,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I know how to fake emotions like pain and hurt to make other people feel sorry for me.**,response,quantised,4,,,Q11_Interpersonal_Manipulation,2,object-41,2,0,3,1
16,1681737150361,17/04/2023 13:12:30,1681740750361,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I don’t really feel compassion when people talk about the death of their loved ones.**,response,value,Sometimes Agree,,,Q17_Affective_Responsiveness,8,object-47,2,0,3,1
17,1681737150362,17/04/2023 13:12:30,1681740750362,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I don’t really feel compassion when people talk about the death of their loved ones.**,response,quantised,3,,,Q17_Affective_Responsiveness,8,object-47,2,0,3,1
18,1681737150363,17/04/2023 13:12:30,1681740750363,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I’m good at pretending that I like someone if this will get me what I want.**,response,value,Strongly Disagree,,,Q19_Interpersonal_Manipulation,10,object-49,2,0,3,1
19,1681737150363,17/04/2023 13:12:30,1681740750363,1,17/04/2023 15:12:30,121969,5,questionnaire-mb28,,28916057,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,PPTS-R,5,AB,BA,Page 3,okv7as,2,**I’m good at pretending that I like someone if this will get me what I want.**,response,quantised,1,,,Q19_Interpersonal_Manipulation,10,object-49,2,0,3,1
