Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: perspective_taking,Store: emotion_contagion,Store: online_simulation,Store: peripheral_responsivity,Store: proximal_responsivity,Store: CE,Store: AE
1,1677425989987,26/02/2023 15:39:49,1677425989987,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,"**I often get deeply involved with the feelings of a character in a film, play, or novel.**",response,value,Disagree,,,Q11_AE_Peripheral_Responsivity,2,object-29,12,6,2,4,5,14,15
2,1677425989988,26/02/2023 15:39:49,1677425989988,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,"**I often get deeply involved with the feelings of a character in a film, play, or novel.**",response,quantised,2,,,Q11_AE_Peripheral_Responsivity,2,object-29,12,6,2,4,5,14,15
3,1677425989988,26/02/2023 15:39:49,1677425989988,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I am quick to spot when someone in a group is feeling awkward or uncomfortable.**,response,value,Agree,,,Q20_CE_Perpective_Taking,11,object-70,12,6,2,4,5,14,15
4,1677425989989,26/02/2023 15:39:49,1677425989989,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I am quick to spot when someone in a group is feeling awkward or uncomfortable.**,response,quantised,3,,,Q20_CE_Perpective_Taking,11,object-70,12,6,2,4,5,14,15
5,1677425989989,26/02/2023 15:39:49,1677425989989,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**It is hard for me to see why some things upset people so much.**,response,value,Agree,,,Q17_AE_Peripheral_Responsivity_R,8,object-41,12,6,2,4,5,14,15
6,1677425989990,26/02/2023 15:39:49,1677425989990,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**It is hard for me to see why some things upset people so much.**,response,quantised,3,,,Q17_AE_Peripheral_Responsivity_R,8,object-41,12,6,2,4,5,14,15
7,1677425989991,26/02/2023 15:39:49,1677425989991,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I am good at predicting how someone will feel.**,response,value,Agree,,,Q19_CE_Perpective_Taking,10,object-45,12,6,2,4,5,14,15
8,1677425989992,26/02/2023 15:39:49,1677425989992,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I am good at predicting how someone will feel.**,response,quantised,3,,,Q19_CE_Perpective_Taking,10,object-45,12,6,2,4,5,14,15
9,1677425989992,26/02/2023 15:39:49,1677425989992,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**It worries me when others are worrying and panicky.**,response,value,Agree,,,Q14_AE_Emotion_Contagion,5,object-35,12,6,2,4,5,14,15
10,1677425989992,26/02/2023 15:39:49,1677425989992,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**It worries me when others are worrying and panicky.**,response,quantised,3,,,Q14_AE_Emotion_Contagion,5,object-35,12,6,2,4,5,14,15
