Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: perspective_taking,Store: emotion_contagion,Store: online_simulation,Store: peripheral_responsivity,Store: proximal_responsivity,Store: CE,Store: AE
1,1681737153930,17/04/2023 13:12:33,1681740753930,1,17/04/2023 15:12:33,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,,,,,,,BEGIN,,,,,,,,,,,,
2,1681737576602,17/04/2023 13:19:36,1681741176602,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I usually stay emotionally detached when watching a film.**,response,value,Strongly Disagree,,,Q29_AE_Peripheral_Responsivity_R,9,object-64,19,0,10,4,4,29,8
3,1681737576602,17/04/2023 13:19:36,1681741176602,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I usually stay emotionally detached when watching a film.**,response,quantised,1,,,Q29_AE_Peripheral_Responsivity_R,9,object-64,19,0,10,4,4,29,8
4,1681737576603,17/04/2023 13:19:36,1681741176603,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I always try to consider the other fellow’s feelings before I do something.**,response,value,Agree,,,Q30_CE_Online_Simulation,10,object-66,19,0,10,4,4,29,8
5,1681737576604,17/04/2023 13:19:36,1681741176604,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I always try to consider the other fellow’s feelings before I do something.**,response,quantised,3,,,Q30_CE_Online_Simulation,10,object-66,19,0,10,4,4,29,8
6,1681737576604,17/04/2023 13:19:36,1681741176604,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I am good at predicting what someone will do.**,response,value,Agree,,,Q27_CE_Perpective_Taking,7,object-59,19,0,10,4,4,29,8
7,1681737576605,17/04/2023 13:19:36,1681741176605,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I am good at predicting what someone will do.**,response,quantised,3,,,Q27_CE_Perpective_Taking,7,object-59,19,0,10,4,4,29,8
8,1681737576607,17/04/2023 13:19:36,1681741176607,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**Before I do something I try to consider how my friends will react to it.**,response,value,Agree,,,Q31_CE_Online_Simulation,11,object-68,19,0,10,4,4,29,8
9,1681737576608,17/04/2023 13:19:36,1681741176608,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**Before I do something I try to consider how my friends will react to it.**,response,quantised,3,,,Q31_CE_Online_Simulation,11,object-68,19,0,10,4,4,29,8
10,1681737576609,17/04/2023 13:19:36,1681741176609,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I can tell if someone is masking their true emotion.**,response,value,Agree,,,Q26_CE_Perpective_Taking,6,object-57,19,0,10,4,4,29,8
